hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
Qd4d,34.079,0.468,0,0,0.036,0.305,0.127,0,0.01,7.741,65.119,27.13,1.3735,1.3733,1.3736,1.3682,1.3759,1.3694
Qd3d,33.905,0.498,0,0,0.028,0.312,0.158,0.013,0.016,5.615,62.651,31.705,1.3933,1.3932,1.3935,1.389,1.3958,1.3891
JdTc,33.823,0.446,0,0,0.064,0.307,0.075,0,0.012,14.374,68.878,16.735,1.4629,1.4629,1.4629,1.4539,1.4655,1.4601
JdTh,33.823,0.446,0,0,0.064,0.307,0.075,0,0.012,14.374,68.878,16.735,1.4629,1.4629,1.4629,1.4539,1.4655,1.4601
JhTd,33.787,0.446,0,0,0.03,0.347,0.069,0,0.001,6.676,77.914,15.409,1.4551,1.4536,1.4552,1.4486,1.4562,1.4524
JcTd,33.787,0.446,0,0,0.03,0.347,0.069,0,0.001,6.676,77.914,15.409,1.4551,1.4536,1.4552,1.4486,1.4562,1.4524
JhTh,33.651,0.466,0,0,0.065,0.328,0.073,0,0.01,14.006,70.326,15.658,1.4159,1.4159,1.416,1.4086,1.418,1.4132
JcTc,33.651,0.466,0,0,0.065,0.328,0.073,0,0.01,14.006,70.326,15.658,1.4159,1.4159,1.416,1.4086,1.418,1.4132
JcTh,33.639,0.446,0,0,0.028,0.327,0.091,0,0,6.324,73.254,20.422,1.414,1.4132,1.4135,1.4061,1.4155,1.411
JhTc,33.639,0.446,0,0,0.028,0.327,0.091,0,0,6.324,73.254,20.422,1.414,1.4132,1.4135,1.4061,1.4155,1.411
Td9d,32.486,0.396,0,0,0.056,0.334,0.006,0,0.008,14.073,84.313,1.606,1.8125,1.8031,1.8127,1.8036,1.814,1.8123
Ts9d,32.474,0.432,0,0,0,0.363,0.069,0,0,0,84.098,15.902,1.7226,1.7102,1.7154,1.7182,1.7231,1.7198
Td9s,32.435,0.432,0,0,0.13,0.209,0.092,0.015,0.049,30.177,48.458,21.302,1.7037,1.7038,1.7037,1.694,1.7097,1.7035
Ts9c,32.357,0.432,0,0,0.09,0.3,0.042,0,0.048,20.818,69.479,9.655,1.6697,1.6695,1.6696,1.66,1.6727,1.6686
Ts9h,32.357,0.432,0,0,0.09,0.3,0.042,0,0.048,20.818,69.479,9.655,1.6697,1.6695,1.6696,1.66,1.6727,1.6686
Th9s,32.293,0.432,0,0,0.086,0.311,0.035,0.006,0.019,19.851,71.945,8.179,1.6716,1.6713,1.6713,1.6607,1.6747,1.6704
Tc9s,32.293,0.432,0,0,0.086,0.311,0.035,0.006,0.019,19.851,71.945,8.179,1.6716,1.6713,1.6713,1.6607,1.6747,1.6704
Qc7c,32.221,0.524,0,0,0.003,0.352,0.168,0,0,0.591,67.26,32.149,0.9756,0.9748,0.9736,0.9749,0.977,0.9727
Qh7h,32.221,0.524,0,0,0.003,0.352,0.168,0,0,0.591,67.26,32.149,0.9756,0.9748,0.9736,0.9749,0.977,0.9727
Jd7d,31.74,0.354,0,0,0.086,0.199,0.069,0.013,0.009,24.318,56.303,19.357,1.4669,1.4668,1.4669,1.4573,1.4716,1.4656
Jd9h,31.51,0.466,0,0,0.009,0.426,0.03,0,0,2.026,91.51,6.463,1.309,1.3089,1.309,1.3075,1.3091,1.3082
Jd9c,31.51,0.466,0,0,0.009,0.426,0.03,0,0,2.026,91.51,6.463,1.309,1.3089,1.309,1.3075,1.3091,1.3082
Qc6c,31.494,0.406,0,0,0.004,0.208,0.194,0,0,1.005,51.329,47.667,0.9462,0.9452,0.9446,0.9454,0.9485,0.9437
Qh6h,31.494,0.406,0,0,0.004,0.208,0.194,0,0,1.005,51.329,47.667,0.9462,0.9452,0.9446,0.9454,0.9485,0.9437
Jh9d,31.449,0.466,0,0,0.003,0.442,0.021,0,0,0.64,94.756,4.604,1.3188,1.3044,1.3092,1.3182,1.3189,1.3186
Jc9d,31.449,0.466,0,0,0.003,0.442,0.021,0,0,0.64,94.756,4.604,1.3188,1.3044,1.3092,1.3182,1.3189,1.3186
Jc9c,31.343,0.408,0,0,0.023,0.316,0.068,0,0.005,5.728,77.523,16.744,1.2596,1.2595,1.2597,1.2558,1.2604,1.2573
Jh9h,31.343,0.408,0,0,0.023,0.316,0.068,0,0.005,5.728,77.523,16.744,1.2596,1.2595,1.2597,1.2558,1.2604,1.2573
Jc9h,31.333,0.466,0,0,0.026,0.356,0.084,0,0.024,5.489,76.467,18.02,1.2576,1.2575,1.2576,1.2538,1.2584,1.2553
Jh9c,31.333,0.466,0,0,0.026,0.356,0.084,0,0.024,5.489,76.467,18.02,1.2576,1.2575,1.2576,1.2538,1.2584,1.2553
Qh5h,30.919,0.49,0,0,0.008,0.301,0.181,0.002,0.003,1.699,61.359,36.937,0.9324,0.9324,0.9323,0.9307,0.9343,0.9292
Qc5c,30.919,0.49,0,0,0.008,0.301,0.181,0.002,0.003,1.699,61.359,36.937,0.9324,0.9324,0.9323,0.9307,0.9343,0.9292
Qc4c,30.59,0.468,0,0,0.015,0.337,0.115,0.005,0.005,3.302,72.065,24.624,0.9504,0.9504,0.9504,0.9484,0.9515,0.9474
Qh4h,30.59,0.468,0,0,0.015,0.337,0.115,0.005,0.005,3.302,72.065,24.624,0.9504,0.9504,0.9504,0.9484,0.9515,0.9474
Qc3c,30.41,0.498,0,0,0.014,0.401,0.083,0.002,0,2.765,80.535,16.698,0.978,0.978,0.9761,0.9771,0.9785,0.9757
Qh3h,30.41,0.498,0,0,0.014,0.401,0.083,0.002,0,2.765,80.535,16.698,0.978,0.978,0.9761,0.9771,0.9785,0.9757
Jd6d,30.132,0.544,0,0,0.013,0.462,0.069,0,0,2.376,84.929,12.695,1.3535,1.3482,1.3515,1.3505,1.3538,1.3519
Td7d,29.602,0.406,0,0,0.079,0.232,0.095,0,0.019,19.556,57.055,23.37,1.566,1.566,1.5661,1.557,1.5701,1.5636
Jd5d,29.543,0.38,0,0,0.019,0.294,0.066,0,0.002,5.051,77.479,17.469,1.3277,1.3276,1.3277,1.3235,1.3286,1.3252
9d7d,29.432,0.38,0,0,0.026,0.301,0.053,0,0,6.829,79.161,14.01,1.7226,1.7116,1.7149,1.7153,1.724,1.7182
