hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
Kd9c,37.446,0.46,0,0,0,0.105,0.355,0,0,0,22.771,77.229,1.1794,1.0657,1.1027,1.1757,1.1804,1.179
Kd9s,37.377,0.46,0,0,0,0.083,0.377,0,0,0,18.048,81.952,1.1789,1.0711,1.1003,1.1751,1.18,1.1786
Kc9d,37.37,0.46,0,0,0,0.14,0.32,0,0,0,30.518,69.482,1.1789,1.0538,1.0872,1.1657,1.18,1.1784
Ks9c,37.338,0.46,0,0,0,0.107,0.353,0,0,0,23.26,76.74,1.1736,1.0476,1.0861,1.1626,1.1748,1.1732
Kc9s,37.321,0.46,0,0,0,0.15,0.31,0,0,0,32.611,67.389,1.1818,1.0644,1.0938,1.1717,1.1832,1.181
Ks9d,37.317,0.46,0,0,0,0.051,0.409,0,0,0,11.111,88.889,1.1703,1.0425,1.0761,1.1561,1.1711,1.1702
Kd9h,37.316,0.46,0,0,0,0.013,0.447,0,0,0,2.808,97.192,1.1582,1.0371,1.0742,1.1516,1.1586,1.1582
Kc9h,37.261,0.46,0,0,0,0.062,0.398,0,0,0,13.58,86.42,1.1605,1.0313,1.0676,1.1479,1.1615,1.1603
Kh9c,37.218,0.46,0,0,0,0.002,0.458,0,0,0,0.434,99.566,1.1459,1.0407,1.0814,1.1248,1.1465,1.1459
Ks9h,37.208,0.46,0,0,0,0.021,0.439,0,0,0,4.52,95.48,1.1525,1.0199,1.0564,1.1377,1.153,1.1525
Kh9d,37.197,0.46,0,0,0,0,0.46,0,0,0,0,100,1.1431,1.0338,1.071,1.1183,1.141,1.1431
Kh9s,37.149,0.46,0,0,0,0,0.46,0,0,0,0.003,99.997,1.1453,1.0464,1.0767,1.1231,1.1456,1.1453
Kh9h,37.1,0.44,0,0,0,0,0.44,0,0,0,0,100,1.1272,1.0157,1.0545,1.1081,1.1239,1.1272
Kc5c,36.94,0.466,0,0,0.007,0.16,0.299,0,0,1.572,34.255,64.174,1.5238,1.493,1.5197,1.5232,1.5249,1.5232
Kd5d,36.782,0.466,0,0,0,0.162,0.303,0,0,0.106,34.837,65.057,1.3988,1.3661,1.3836,1.3988,1.3999,1.3982
Ks5s,36.735,0.466,0,0,0.011,0.197,0.259,0,0,2.277,42.177,55.546,1.418,1.3883,1.4124,1.4171,1.419,1.4173
2s2c,36.645,0.43,0.123,0,0.005,0.022,0.28,28.628,0,1.247,5.003,65.122,1.8221,1.8217,1.8209,1.8213,1.8225,1.8222
2s2d,36.605,0.43,0.119,0,0.009,0.03,0.271,27.777,0,2.176,7.018,63.029,1.8165,1.8158,1.8136,1.8156,1.8173,1.8167
2s2h,36.57,0.43,0.066,0,0.014,0.062,0.288,15.271,0,3.342,14.326,67.061,1.7588,1.7578,1.7576,1.7574,1.7596,1.759
2d2c,36.549,0.43,0.047,0,0.007,0.036,0.34,10.995,0,1.686,8.316,79.002,1.8078,1.8078,1.8054,1.8076,1.8084,1.8077
2c2h,36.513,0.43,0.019,0,0.012,0.066,0.332,4.435,0.002,2.893,15.463,77.208,1.7497,1.7496,1.7488,1.7488,1.7508,1.7496
Kc4c,36.503,0.532,0.046,0,0.034,0.186,0.265,8.737,0,6.432,34.96,49.871,1.5382,1.5376,1.5374,1.5362,1.5399,1.5375
2d2h,36.473,0.43,0.063,0,0.013,0.053,0.301,14.731,0,3.117,12.213,69.94,1.7477,1.7473,1.7464,1.7468,1.7481,1.7477
Kd8c,36.456,0.24,0,0,0,0.15,0.09,0,0,0,62.591,37.409,1.1788,1.0616,1.1076,1.1726,1.18,1.1768
Kd4d,36.446,0.532,0,0,0.032,0.225,0.275,0,0,6.061,42.274,51.665,1.4222,1.4198,1.4218,1.4201,1.4236,1.4214
Kd8s,36.366,0.24,0,0,0,0.129,0.111,0,0,0,53.903,46.097,1.1757,1.0668,1.0946,1.1711,1.1771,1.1741
Ks8c,36.349,0.24,0,0,0,0.133,0.107,0,0,0,55.407,44.593,1.1725,1.0453,1.0878,1.1591,1.1739,1.1708
Ks4s,36.336,0.532,0.008,0,0.045,0.244,0.235,1.46,0.005,8.537,45.855,44.143,1.4444,1.4441,1.4444,1.4416,1.4461,1.4432
Kc8d,36.319,0.24,0,0,0,0.211,0.029,0,0,0,88.114,11.886,1.179,1.0557,1.083,1.1591,1.1793,1.1767
Kc8s,36.313,0.24,0,0,0,0.196,0.044,0,0,0,81.66,18.34,1.1819,1.0627,1.0885,1.1674,1.1825,1.179
Kd8h,36.307,0.24,0,0,0,0.04,0.2,0,0,0,16.511,83.489,1.1436,1.0304,1.0629,1.1368,1.1443,1.1435
Kc3c,36.27,0.458,0.203,0,0.022,0.085,0.148,44.246,0,4.803,18.576,32.375,1.5677,1.5671,1.5653,1.5665,1.5696,1.5676
Ks8d,36.266,0.24,0,0,0,0.117,0.123,0,0,0,48.768,51.232,1.1667,1.0432,1.0723,1.1501,1.1679,1.1656
Kd3d,36.257,0.458,0.101,0,0.031,0.11,0.216,22.001,0,6.785,24.076,47.137,1.4554,1.4549,1.4538,1.4535,1.4574,1.4548
Kc8h,36.254,0.24,0,0,0,0.097,0.143,0,0,0,40.396,59.604,1.148,1.0271,1.0554,1.1323,1.1487,1.1476
Kh8c,36.239,0.24,0,0,0,0.044,0.196,0,0,0,18.264,81.736,1.1351,1.0367,1.0828,1.125,1.1358,1.1349
Ks8h,36.201,0.24,0,0,0,0.034,0.206,0,0,0,14.364,85.636,1.1378,1.013,1.0437,1.1212,1.1385,1.1377
Kh8d,36.157,0.24,0,0,0,0.009,0.231,0,0,0,3.958,96.042,1.1295,1.0333,1.0663,1.1173,1.13,1.1295
Kh8s,36.15,0.24,0,0,0,0.025,0.215,0,0,0,10.589,89.411,1.1318,1.0425,1.0689,1.1235,1.1322,1.1317
